class,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,40138,214,212,0,0,0,0,0,0,125124,985896,1422734,336606,17306,242,1272196,0,0,0,804,1180,2523680,2060398,901306,347706,0,0,0,0,532,204,0,0,0,0,0,14278,1118256,1406566,348808,0,3436,1520,2478,38106,1506600,1335326,442,0,0,0,1021132,805258,269256,190936,160174,137444,153424,147556,2728,0,3426924,42,34,4254,18,1272196,40302,545740,352180,363300,270940,,256840,40137.28,3426924,3426924,3397886,16428,156744,93074,996320,2887908,1209600,76876,0,92,0,2420619.84,42118.08,422255.04,0,0,0,0,8410,472078,1150282,979146,252254,22106,3550,82,196,202,3426924,5992,998,77216,268308,188716,1860632,472690,13266,90,0,314,634,1118888,53032,1404,106,0,20,2449194,3268,448,0,0,110,42452,0,0,0,0,24524,37456,5790,0,0,77322,13250,4023760,933924,0,0,0,0,451570,1953.44,2098,492686,587832,390598,210734,402118,320798,181862,119240,173120,8920,0,0
neg,30636,94,56,0,0,0,0,4630,368568,1162428,251786,9252,0,0,0,684816,0,0,0,192424,268268,1425666,1441276,290870,111276,0,0,0,0,554,802,0,0,0,0,0,0,37612,936066,822986,0,1778,136,214,370,21000,1773166,0,0,0,0,416796,623298,359640,149442,74612,43982,28450,24408,46450,29586,1909520,1714,2004,4804,16,684816,19202,122978,166588,195600,,,91660,30636.26,1909520,1909520,1910024,9213,1136,67448,694860,1796664,1209600,30908,12,52,0,1461294.72,0.0,333281.28,0,410,0,69628,1082748,541456,85466,12300,4218,818,30,0,108,116,1909520,2978,360,16292,169160,64782,683868,847684,11414,126,0,80,1230,1442502,1013924,0,142,0,0,1471142,1798,96,0,0,0,0,0,0,0,0,13350,2280,462,1812970,238616,35298,4460,12780,8418,1870670,6948,0,0,636260,649.98,750,344082,178380,79524,35162,78016,78234,201032,786004,16230,0,0,0
neg,106458,544,496,0,0,0,0,0,0,11260,1437484,3842056,1267616,123442,3108,2813802,0,0,0,0,0,5925146,5127462,1038536,684022,0,0,0,0,502,300,0,0,0,0,0,138280,2264832,1848442,2433412,0,3742,1336,1936,100426,4703090,1873272,1164,0,0,0,2065196,1695316,638942,477680,369284,307326,408678,722064,480,0,6964844,1288,952,2100,36,2813802,80810,565976,469714,171560,187820,174760,125500,106458.41,6964844,6964844,6963268,45260,14452,82436,901500,6684966,1209600,196042,2,96,0,5827486.08,0.0,851769.6,0,0,0,0,0,267478,2582966,2888826,881930,53284,10018,464,510,568,6964844,10058,1258,190180,562084,264834,4173742,1461448,21294,68,0,824,868,5590884,715974,0,92134,0,10,5876702,5116,826,0,0,0,0,0,0,0,0,45850,79148,38350,0,0,169664,31248,18223360,1942064,0,0,0,0,12934080,2220,2884,904430,1078252,799378,418210,848506,807632,656146,519990,612840,39582,0,0
neg,39512,104,56,0,0,0,0,0,0,86,55394,1730654,937874,186112,5796,1438962,0,0,0,0,0,2532200,2211244,458008,284164,0,0,0,0,184,76,0,0,0,0,0,784,1944182,969658,1292,0,3240,1808,4312,158634,2177002,570814,106,0,0,0,1322258,534004,190980,152612,133804,134108,195396,252754,0,0,2990514,40,1346,134,0,1438962,43322,187998,268284,193640,166980,,93820,39511.94,2990514,2990514,2994986,18454,77916,53992,567620,2915916,1209600,98710,0,118,0,2237872.32,0.0,675159.36,0,0,0,0,0,1270,485182,1634454,753874,36010,4956,170,2,6,2990514,4438,368,89522,188958,182970,1494362,944268,10808,222,0,90,174,2032294,217148,0,6778,0,0,2256870,1846,168,0,0,0,0,0,0,0,0,21626,28796,5968,0,0,100444,18072,520960,334240,0,0,0,0,38511940,720.48,816,692078,591478,307246,124974,223002,163816,164354,169412,446138,33418,0,0
neg,110,64,0,0,0,0,0,0,0,298,11018,2084,0,0,0,5140,0,0,0,0,0,20392,15070,14208,1784,0,0,0,0,34,26,0,0,0,0,0,0,0,318,13082,0,162,30,46,30,3288,9844,0,0,0,0,10168,2102,262,168,72,40,354,234,0,0,34626,0,0,0,2,5140,328,9956,4182,,,,13900,110.3,34626,34626,37946,38,12,3218,34240,13400,1209600,932,0,0,0,6792.0,0.0,5665.92,0,42,0,0,0,9740,2952,364,344,0,0,0,0,14,34626,1020,36,30,34,406,1288,7540,2980,66,0,0,0,0,0,0,0,0,0,0,96,58,0,0,0,0,0,0,0,0,326,0,0,0,0,406,92,38720,4004,0,62,0,0,0,94.04,86,6946,4678,1418,170,60,48,38,42,0,0,0,0
pos,210624,1264,,0,0,0,0,0,10502,292416,5106180,7261164,921894,7962,0,7104868,65760,46,0,13782,24684,11658704,10090200,2809854,1330652,0,0,0,0,2140,338,0,0,0,0,0,6460,5183138,2485640,5924880,0,36226,25294,52378,80064,4940162,8461196,4796,2,0,0,4280710,3494186,1778696,1321356,1030812,749242,498288,351254,81854,13720,14484796,384,126,3544,1950,7104868,201214,1337162,1461922,245640,171120,221380,269060,210624.87,14484796,14484796,14285426,76596,37832,96180,1149800,13600118,1209600,351352,,,,11949338.88,0.0,1638433.92,,,0,646,60910,2402144,7332230,3482250,266862,46232,8720,124,,74,14484796,12438,2626,596934,643332,695628,10500776,1111584,36796,4,0,948,1738,10624168,471102,776,126606,0,0,10879568,10712,236,0,0,0,0,0,0,0,0,123918,166408,40434,24478442,4567344,403420,60502,389180,139262,12963876,3376,0,0,10234110,,,1749068,2223830,1553228,926050,2412644,2333238,1370104,605392,423348,3216,0,0
neg,2662,188,0,0,0,0,0,0,0,0,0,0,0,0,0,53244,0,0,0,20700,37892,141720,147420,51878,5732,0,0,0,0,498,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214430,6,6,6,2,53244,1546,20716,31008,,,,51080,2662.47,214430,214430,240,0,256,20898,213440,0,1209600,3036,0,0,0,132863.04,6629.76,44526.72,0,0,0,0,0,0,0,0,0,0,0,0,0,36,214430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,472,0,0,10,6698,0,0,0,0,1574,398,98,0,0,2462,532,573400,58748,0,0,0,0,1662080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pos,961932,,0,,,0,0,0,0,0,0,0,0,0,0,13882488,0,108,,5106022,8373140,34719528,34371652,22307976,4077396,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62137130,,,,,13882488,490732,11201120,11087288,387100,422160,408720,113440,961931.67,62137130,62137130,226,0,,,387120,0,1209600,,0,0,0,39440237.76,0.0,13711552.32,0,0,0,0,0,0,0,0,0,0,0,0,0,,62137130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,331298,,,,,,,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,0,0,,
neg,48988,386,358,0,0,0,0,0,4580,256342,1315388,1184940,362274,16340,228,1414082,0,0,0,4564,6528,2885156,2598306,411334,231018,0,0,0,0,868,236,0,0,0,0,0,49306,1359302,1362990,368494,0,1946,650,884,15430,1386314,1715668,19200,0,0,0,947458,758084,272976,222816,189858,166054,183596,341792,55482,1976,3301614,250,356,632,6,1414082,30844,212100,197992,140400,166600,,98560,48987.19,3301614,3301614,3272120,21808,1180,84378,876140,3140092,1209600,89542,0,24,0,2710163.52,0,427674.24,0,0,0,0,53216,610846,1251418,1009976,198230,13888,2432,86,588,594,3301614,4298,628,149880,325768,116180,1634582,884552,23950,254,0,564,742,2628524,187860,0,286,0,28,2729810,2216,196,0,0,0,0,0,0,0,0,16702,41734,7004,0,0,65130,10358,126060,24102,0,0,0,0,2510660,1166.14,1324,456198,545954,371674,184526,401278,398088,257216,161408,308960,54790,0,0
neg,702,28,0,0,0,0,0,0,0,0,0,0,0,0,0,14610,0,0,0,11708,17188,44148,45418,30806,4846,0,0,0,0,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86752,14,18,34,0,14610,628,17942,12788,,,,30180,702.13,86752,86752,228,0,0,8300,86120,0,1209600,1606,0,0,0,41716.8,0.0,19399.68,0,0,0,0,0,0,0,0,0,0,0,0,0,16,86752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,158,0,0,0,0,0,0,0,0,822,18,24,0,0,856,192,177380,17768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neg,15946,158,,0,0,0,0,0,0,34108,315810,633608,90704,6284,0,570552,0,0,0,0,0,968782,857176,158258,86730,0,0,0,0,94,22,0,0,0,0,0,0,140482,252760,687272,0,3114,1368,1334,44536,724826,305332,4,0,0,0,389044,192312,79754,69690,69024,68268,74660,94346,36954,6462,1127324,890,270,792,6,570552,16448,73402,84482,1310700,1310700,1310700,156060,15945.98,1127324,1127324,1119994,7620,1566,111068,1124300,1080514,1209600,39924,,,,929185.92,0.0,148967.04,,,0,0,254,77920,467832,463800,64754,5192,762,0,,468,1127324,2356,182,46686,68482,74136,790620,94064,3988,0,0,224,110,729340,82716,0,59084,0,0,849290,700,60,0,0,0,0,0,0,0,0,8736,20658,3042,0,0,35868,7280,218400,31560,6824,5338,0,0,0,,,157148,202954,145920,77444,156766,141556,91296,47762,57572,2096,0,0
neg,26532,128,,0,0,0,0,0,610,54440,769390,608904,123710,8830,1362,748864,0,66,0,1748,2780,1407486,1249638,564978,123918,2,0,0,0,60,30,0,0,0,0,0,4152,11058,468760,1083276,0,9262,14310,22320,32200,292944,1196210,0,0,0,0,435746,473588,220644,132558,80734,51492,41488,63242,63554,4200,1974512,444,256,142,16,748864,23094,423880,139616,335280,1310700,1310700,226560,26532.89,1974512,1974512,1970932,11190,6340,74006,761760,1567246,1209600,0,,,,1335419.52,0.0,228334.08,,,0,0,7604,168444,721198,530564,127800,9730,1790,116,,0,1974512,2438,238,101020,120342,922602,419896,710,0,0,0,,,,,,,,,,1888,168,0,0,0,0,0,0,0,0,10966,11468,2622,4633204,627812,63500,9070,3652400,388596,1477556,38002,0,0,25532820,,,236878,205354,141250,53632,103652,98504,109480,583350,35146,0,0,0
neg,20032,124,98,0,0,0,0,0,79154,1256374,333772,116384,15008,0,0,780216,0,0,0,12588,17592,1543318,1382712,295116,152812,0,0,0,0,788,74,0,0,0,0,0,0,0,403836,1396856,0,3070,1628,1722,2960,10634,1697322,81994,1362,0,0,726730,329202,136404,115194,105042,84196,65976,56918,28932,152098,1851180,382,520,610,0,780216,21900,83530,210568,190580,,,102180,20032.7,1851180,1851180,1839908,10330,70,62712,639280,1801202,1209600,43438,0,66,0,1141837.44,243097.92,414327.36,68,334,0,0,110100,475882,411858,229008,259322,233146,68892,12484,14,22,1851180,2118,232,302410,194726,159888,804962,330710,5574,72,0,128,122,1130468,154888,0,3208,0,0,1156144,2412,826,0,0,430,243894,0,0,0,0,11264,3306,900,0,0,43860,6866,30780,5304,0,0,0,0,0,512.72,442,668098,267080,126930,56018,134724,169822,220880,148766,8374,0,0,0
neg,41506,0,,0,0,0,0,0,0,151396,2028030,504174,8800,0,0,1250872,0,0,0,0,0,2373018,2033364,567302,291750,0,0,0,0,0,0,0,0,0,0,0,152666,1856952,378718,304064,0,1356,228,374,32050,1945032,713304,56,0,0,0,972856,582062,237868,174596,155638,217908,351472,0,0,0,2940792,0,24,182,0,1250872,39592,325940,240470,221900,248340,,92400,41506.05,2940792,2940792,2942516,16522,243306,48396,516200,2692400,1209600,0,,,,2415267.84,0.0,269936.64,0,0,0,0,266,814702,1335534,497216,36512,5872,2178,120,,0,2940792,3408,494,258982,219268,156568,1452728,576828,23500,624,0,,,,,,,,,,1808,94,0,0,0,0,0,0,0,0,17478,0,0,0,0,0,0,0,0,0,0,0,0,1506040,869.74,1060,284980,508342,439870,233434,453134,286486,197340,111436,160640,16738,0,0
neg,410,2130706446,32,0,0,0,0,0,0,25290,50964,2918,0,0,0,12136,0,0,0,680,2350,101112,84334,65224,8902,0,0,0,0,14,44,0,0,0,0,0,0,0,48664,30508,0,360,20,36,690,506,18224,59336,0,0,0,59286,11514,3956,1770,842,574,730,196,250,54,167114,8,6,100,0,12136,948,44312,20088,,,,64120,409.09,167114,167114,169172,220,0,16104,166040,79426,1209600,1822,2,18,0,39341.76,10301.76,28630.08,28,112,0,0,18088,40210,18712,1924,186,52,0,0,12,18,167114,1636,90,408,9012,7822,15506,41886,2782,30,0,34,80,41818,2714,0,0,0,0,42260,252,152,0,0,40,33388,0,0,0,0,1304,150,30,27312,5806,1040,172,121900,12704,0,214,0,4,0,2.92,250,40734,10032,2932,1472,1960,3230,18564,220,28,0,0,0
neg,907962,1598,1598,0,0,0,0,81082,3372096,18613024,21908414,11461824,2553856,454830,52302,28648934,0,90,,2166722,3140770,52059712,48999404,17519282,3756560,8,0,5008,0,4090,1618,0,0,0,0,18666,175610,5993614,35962384,16347154,0,970692,138120,180246,289970,20187380,36730986,32,2,0,0,13483812,21527528,9400894,4693114,2232882,1389874,1061342,1719152,1834974,1153856,71756392,1006,56358,22794,2956,28648934,716848,12964566,4514974,263360,245020,255600,92520,907961.72,71756392,71756392,71871814,282971,24548,,266260,58497428,1209600,1243198,8622,174,0,45840274.56,3948734.4,8661955.2,4496,21884,6100,1070440,11144826,21107028,15636398,8039646,1317244,149198,25604,944,37316,37380,71756392,57756,18376,4668464,5409672,11317932,34882860,2065700,76656,12,0,934,7152,41206344,16249694,8718,353566,0,0,41927906,67032,1112,,,,,,,,,386452,169276,54368,93561578,11914530,1390316,185406,945040,494482,68501762,465436,0,0,,35430.88,29520,12892364,6024078,4074864,1923584,4878844,4491022,13116714,11085030,10928,0,0,0
neg,8,16,16,0,0,0,0,0,0,18,0,3572,0,0,0,1604,0,0,0,0,0,7518,5986,5356,684,0,0,0,0,2,0,0,0,0,0,0,0,3590,0,0,0,36,10,8,20,262,3254,0,0,0,0,2888,464,126,62,24,22,4,0,0,0,12884,0,0,0,0,1604,106,4018,1330,,,,5320,8.3,12884,12884,15230,7,0,1256,12840,3590,1209600,278,2,2,0,1536.0,6.72,2030.4,0,12,0,0,0,0,3044,358,136,52,0,0,6,10,12884,52,8,4,170,338,1476,1036,460,46,0,20,0,1704,32,0,4,0,30,2158,28,48,0,0,0,6,0,0,0,0,78,0,0,0,0,42,28,13600,1384,15988,34,0,0,0,29.06,18,2142,1336,112,0,0,0,0,0,0,0,0,0
pos,961932,,6922,,,206,184540,1877616,11834982,25569292,21791788,6401080,681380,27758,0,13882488,0,108,,5106022,8373140,34719304,34371650,22304730,4077396,,0,0,0,,,0,0,0,0,0,0,8236,33323492,35036914,0,545542,216984,247524,462202,37370470,29525642,192,16,2,68,12972192,16701146,9360774,7493960,6321144,4666156,3386744,3176234,2157952,2132340,62133660,,,,,13882488,490728,11197878,11087286,387100,422160,408720,110220,961931.67,62133660,62133660,82181942,392615,,,383660,68368642,1209600,,6692,642,0,39440237.76,0,13711552.32,13088,34110,82628,3453942,15387720,23552340,19166092,5868558,705110,134172,17876,204,2274,,62133660,67790,14704,9471796,7527264,5540282,42639566,3038916,68314,10,0,10150,41626,45937004,16931260,66,112286,0,0,47377134,,,,,,,,,,,331288,,,,,,,,,,,,,,32754.92,24822,17744666,9076006,4811024,2337304,4761088,5597062,12690494,11058346,292630,22,,
neg,18,24,20,0,0,0,0,0,0,2,2108,3518,0,0,0,1950,0,0,0,0,0,11342,9554,6686,458,0,0,0,0,24,68,0,0,0,0,0,0,0,1156,4472,0,42,10,26,516,348,218,4468,0,0,0,3976,576,256,124,86,32,294,84,126,74,18046,2,6,4,0,1950,208,5388,1228,,,,6500,17.12,18046,18046,19034,23,0,1724,17880,5666,1209600,476,2,2,0,2562.24,163.2,2099.52,0,8,0,0,0,772,3348,822,686,0,0,0,2,4,18046,876,14,12,12,598,952,2446,692,26,0,22,116,2552,84,0,0,0,0,2840,38,38,0,0,100,212,0,0,0,0,164,0,0,0,0,102,44,8340,838,0,8,0,0,0,0.7,36,3242,1902,292,54,48,82,8,0,0,0,0,0
